"STATION","DATE","REPORT_TYPE","SOURCE","AWND","BackupDirection","BackupDistance","BackupDistanceUnit","BackupElements","BackupElevation","BackupElevationUnit","BackupEquipment","BackupLatitude","BackupLongitude","BackupName","CDSD","CLDD","DSNW","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather","HDSD","HTDD","HeavyFog","HourlyAltimeterSetting","HourlyDewPointTemperature","HourlyDryBulbTemperature","HourlyPrecipitation","HourlyPresentWeatherType","HourlyPressureChange","HourlyPressureTendency","HourlyRelativeHumidity","HourlySeaLevelPressure","HourlySkyConditions","HourlyStationPressure","HourlyVisibility","HourlyWetBulbTemperature","HourlyWindDirection","HourlyWindGustSpeed","HourlyWindSpeed","MonthlyAverageRH","MonthlyDaysWithGT001Precip","MonthlyDaysWithGT010Precip","MonthlyDaysWithGT32Temp","MonthlyDaysWithGT90Temp","MonthlyDaysWithLT0Temp","MonthlyDaysWithLT32Temp","MonthlyDepartureFromNormalAverageTemperature","MonthlyDepartureFromNormalCoolingDegreeDays","MonthlyDepartureFromNormalHeatingDegreeDays","MonthlyDepartureFromNormalMaximumTemperature","MonthlyDepartureFromNormalMinimumTemperature","MonthlyDepartureFromNormalPrecipitation","MonthlyDewpointTemperature","MonthlyGreatestPrecip","MonthlyGreatestPrecipDate","MonthlyGreatestSnowDepth","MonthlyGreatestSnowDepthDate","MonthlyGreatestSnowfall","MonthlyGreatestSnowfallDate","MonthlyMaxSeaLevelPressureValue","MonthlyMaxSeaLevelPressureValueDate","MonthlyMaxSeaLevelPressureValueTime","MonthlyMaximumTemperature","MonthlyMeanTemperature","MonthlyMinSeaLevelPressureValue","MonthlyMinSeaLevelPressureValueDate","MonthlyMinSeaLevelPressureValueTime","MonthlyMinimumTemperature","MonthlySeaLevelPressure","MonthlyStationPressure","MonthlyTotalLiquidPrecipitation","MonthlyTotalSnowfall","MonthlyWetBulb","NormalsCoolingDegreeDay","NormalsHeatingDegreeDay","REM","REPORT_TYPE","SOURCE","ShortDurationEndDate005","ShortDurationEndDate010","ShortDurationEndDate015","ShortDurationEndDate020","ShortDurationEndDate030","ShortDurationEndDate045","ShortDurationEndDate060","ShortDurationEndDate080","ShortDurationEndDate100","ShortDurationEndDate120","ShortDurationEndDate150","ShortDurationEndDate180","ShortDurationPrecipitationValue005","ShortDurationPrecipitationValue010","ShortDurationPrecipitationValue015","ShortDurationPrecipitationValue020","ShortDurationPrecipitationValue030","ShortDurationPrecipitationValue045","ShortDurationPrecipitationValue060","ShortDurationPrecipitationValue080","ShortDurationPrecipitationValue100","ShortDurationPrecipitationValue120","ShortDurationPrecipitationValue150","ShortDurationPrecipitationValue180","Sunrise","Sunset","TStorms","WindEquipmentChangeDate"
"72503014732","2020-05-10T00:51:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.08","20","43","0.00","","-0.01","0","40","30.08","FEW:02 60","30.05","10.00","35","260","25","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET13805/10/20 00:51:02 METAR KLGA 100551Z 26014G22KT 10SM FEW060 06/M07 A3008 RMK AO2 PK WND 24029/0523 SLP186 T00611067 10067 20056 50005 (WL)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72503014732","2020-05-10T01:00:00","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","43","","","0.01","9","40","30.08","57","30.04","9.94","35","260","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08672503 32766 22614 10061 21067 30172 40186 50005 90551 333 10067 20022 91022 555 91006=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72503014732","2020-05-10T01:51:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.07","21","42","0.00","","","","43","30.07","CLR:00","30.04","10.00","34","260","25","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09905/10/20 01:51:02 METAR KLGA 100651Z 26012G22KT 10SM CLR 06/M06 A3007 RMK AO2 SLP182 T00561061 (WL)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72503014732","2020-05-10T02:51:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","21","42","0.00","","","","43","30.06","CLR:00","30.03","10.00","34","250","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11405/10/20 02:51:02 METAR KLGA 100751Z 25008KT 10SM CLR 06/M06 A3006 RMK AO2 PK WND 28026/0653 SLP179 T00561061 (WL)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72503014732","2020-05-10T03:51:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.05","20","42","0.00","","+0.04","8","41","30.05","CLR:00","30.02","10.00","34","240","23","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET10505/10/20 03:51:02 METAR KLGA 100851Z 24014G20KT 10SM CLR 06/M07 A3005 RMK AO2 SLP175 T00561067 58012 (WL)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72503014732","2020-05-10T04:00:00","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20","42","","","+0.04","8","41","30.05","","30.01","9.94","34","240","","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN07472503 32966 02414 10056 21067 30162 40175 58012 90851 333 91020 555 91009=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72503014732","2020-05-10T04:51:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.06","20","43","0.00","","","","40","30.06","CLR:00","30.03","10.00","35","260","28","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET11705/10/20 04:51:02 METAR KLGA 100951Z 26019G24KT 10SM CLR 06/M07 A3006 RMK AO2 PK WND 26027/0912 SLP178 T00611067 (WL)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72503014732","2020-05-10T05:51:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.10","22","42","0.00","","","","45","30.09","CLR:00","30.07","10.00","35","230","","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET09705/10/20 05:51:02 METAR KLGA 101051Z 23012KT 10SM CLR 06/M06 A3010 RMK AO2 SLP191 T00561056 (ATK)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72503014732","2020-05-10T06:51:00","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.12","22","44","0.00","","-0.07","3","41","30.11","FEW:02 200 FEW:02 250","30.09","10.00","36","240","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","MET12505/10/20 06:51:02 METAR KLGA 101151Z 24013KT 10SM FEW200 FEW250 07/M06 A3012 RMK AO2 SLP197 T00671056 10067 20050 53023 (ATK)","FM-15","7","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"72503014732","2020-05-10T07:00:00","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22","44","","","-0.07","3","41","30.11","","30.08","9.94","36","240","","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SYN08072503 32966 22413 10067 21056 30186 40197 53023 91151 333 10094 20050 555 91012=","FM-12","4","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
